Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"THE POSTCOLONIAL AURA, 3RD-WORLD CRITICISM IN THE AGE OF GLOBAL CAPITALISM","DIRLIK, A",,,,CRITICAL INQUIRY,WIN 1994,1994,20,2,,,,328,356,,10.1086/448714,,,256,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18,15,16,11,13,10,6,9,12,9,9,9,12,13,7,13,18,13,12,10,3
Sex in public,"Berlant, L; Warner, M",,,,CRITICAL INQUIRY,WIN 1998,1998,24,2,,,,547,566,,10.1086/448884,,,224,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,5,8,1,3,13,9,16,13,25,30,26,28,30,2
The animal that therefore I am (more to follow),"Derrida, J",,,,CRITICAL INQUIRY,WIN 2002,2002,28,2,,,,369,418,,10.1086/449046,,,221,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,7,18,16,21,17,17,25,21,25,23,20,1
"POSTCOLONIALITY AND THE ARTIFICE OF HISTORY, WHO SPEAKS FOR INDIAN PASTS","CHAKRABARTY, D",,,,REPRESENTATIONS,WIN 1992,1992,,37,,,,1,26,,,,,217,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,5,7,7,16,13,7,10,5,11,9,13,13,12,15,8,10,12,17,15,1
THE WRITERS AUDIENCE IS ALWAYS A FICTION,"ONG, WJ",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1975,1975,90,1,,,,9,21,,10.2307/461344,,,215,5.12,0,0,4,5,10,9,3,6,9,6,12,6,9,7,8,10,5,8,8,6,2,4,3,1,3,3,6,4,3,0,3,4,1,3,4,4,2,5,3,9,8,3,5,1
"On the emergence of memory in historical discourse (Historiography, history, Jews, Holocaust, 'after-Auschwitz')","Klein, KL",,,,REPRESENTATIONS,WIN 2000,2000,,69,,,,127,150,,,,,206,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,5,8,8,12,20,19,19,32,15,19,27,5,3
THE LOGICAL STATUS OF FICTIONAL DISCOURSE,"SEARLE, JR",,,,NEW LITERARY HISTORY,1975,1975,6,2,,,,319,332,,10.2307/468422,,,197,4.69,0,0,1,2,2,3,9,8,7,8,7,7,7,8,5,6,2,3,3,1,1,5,0,1,4,1,2,2,3,1,4,3,6,5,2,5,6,5,6,8,8,16,14,0
The Climate of History: Four Theses,"Chakrabarty, Dipesh",,,,CRITICAL INQUIRY,WIN 2009,2009,35,2,,,,197,222,,10.1086/596640,,,168,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,13,25,61,41,9
IS THE POST- IN POSTMODERNISM THE POST- IN POSTCOLONIAL,"APPIAH, KA",,,,CRITICAL INQUIRY,WIN 1991,1991,17,2,,,,336,357,,10.1086/448586,,,167,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,17,6,10,8,13,6,4,6,8,1,5,2,3,6,4,7,10,3,7,4,9,11,8,0
THE LAW OF GENRE,"DERRIDA, J",,,,CRITICAL INQUIRY,1980,1980,7,1,,,,55,81,,10.1086/448088,,,165,4.46,0,0,0,0,0,0,0,0,1,0,0,4,1,0,5,0,2,1,2,2,4,0,5,2,3,3,3,4,2,2,4,2,1,6,2,7,6,9,18,18,15,16,15,0
"SIGNS TAKEN FOR WONDERS - QUESTIONS OF AMBIVALENCE AND AUTHORITY UNDER A TREE OUTSIDE DELHI, MAY 1817","BHABHA, HK",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,144,165,,10.1086/448325,,,158,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,5,7,5,7,7,8,10,5,6,6,4,4,3,6,4,3,3,2,9,4,10,4,7,12,9,1
WHAT METAPHORS MEAN,"DAVIDSON, D",,,,CRITICAL INQUIRY,1978,1978,5,1,,,,31,47,,10.1086/447971,,,144,3.69,0,0,0,0,0,2,2,1,1,2,3,3,2,3,5,3,1,2,5,2,1,0,2,4,4,4,2,7,4,5,2,1,4,3,5,3,8,4,7,12,4,8,9,4
NARRATIVE TIME,"RICOEUR, P",,,,CRITICAL INQUIRY,1980,1980,7,1,,,,169,190,,10.1086/448093,,,142,3.84,0,0,0,0,0,0,0,0,0,2,4,3,1,3,5,1,3,1,1,0,0,2,1,4,1,2,6,2,1,5,3,3,4,6,1,6,4,11,2,13,14,15,11,1
THE ECONOMY OF MANICHEAN ALLEGORY - THE FUNCTION OF RACIAL DIFFERENCE IN COLONIALIST LITERATURE,"JANMOHAMED, AR",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,59,87,,10.1086/448321,,,133,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,7,5,3,6,3,10,3,5,2,5,2,0,6,5,9,5,5,5,5,5,6,4,5,6,3,0
"THE ONTOLOGY OF THE ENEMY, WIENER,NORBERT AND THE CYBERNETIC VISION","GALISON, P",,,,CRITICAL INQUIRY,FAL 1994,1994,21,1,,,,228,266,,10.1086/448747,,,130,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,3,2,6,3,1,0,4,4,7,7,12,12,14,13,5,16,10,1
Surface Reading: An Introduction,"Best, Stephen; Marcus, Sharon",,,,REPRESENTATIONS,FAL 2009,2009,,108,,,,1,21,,10.1525/rep.2009.108.1.1,,,129,16.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,33,40,22,3
AGAINST THEORY + LITERARY-CRITICISM,"KNAPP, S; MICHAELS, WB",,,,CRITICAL INQUIRY,1982,1982,8,4,,,,723,742,,10.1086/448178,,,127,3.63,0,0,0,0,0,0,0,0,0,0,9,4,5,2,1,2,6,8,1,5,5,3,1,2,1,0,1,5,2,2,2,0,3,3,6,7,4,5,6,8,5,4,9,0
IMPERIALIST NOSTALGIA,"ROSALDO, R",,,,REPRESENTATIONS,SPR 1989,1989,,26,,,,107,122,,,,,121,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,3,0,2,1,2,5,6,7,6,7,12,9,11,13,14,12,2
TRUTH IN FICTION - RE-EXAMINATION OF AUDIENCES,"RABINOWITZ, PJ",,,,CRITICAL INQUIRY,1977,1977,4,1,,,,121,141,,10.1086/447927,,,120,3,0,0,0,0,0,0,2,3,6,2,5,5,3,5,1,5,0,3,0,1,4,3,5,3,1,1,1,4,3,0,2,3,3,4,6,2,2,2,5,5,7,7,4,2
"Hegel and Haiti (Slavery, capitalism, philosophy of history)","Buck-Morss, S",,,,CRITICAL INQUIRY,SUM 2000,2000,26,4,,,,821,865,,10.1086/448993,,,119,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,6,11,7,11,16,13,9,15,3,12,7,0
"DIASPORA, GENERATION AND THE GROUND OF JEWISH IDENTITY","BOYARIN, D; BOYARIN, J",,,,CRITICAL INQUIRY,SUM 1993,1993,19,4,,,,693,725,,10.1086/448694,,,119,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,4,3,4,2,4,4,3,8,4,8,7,6,5,4,9,8,5,11,11,1
AN INTRODUCTION TO THE STRUCTURAL-ANALYSIS OF NARRATIVE,"BARTHES, R",,,,NEW LITERARY HISTORY,1975,1975,6,2,,,,237,272,,10.2307/468419,,,119,2.83,0,0,0,2,2,3,2,2,0,6,5,2,2,1,2,2,0,1,2,2,3,2,1,1,2,2,0,3,2,0,1,3,1,1,2,3,6,3,5,9,9,14,8,2
TRANSPARENT PICTURES - ON THE NATURE OF PHOTOGRAPHIC REALISM,"WALTON, KL",,,,CRITICAL INQUIRY,1984,1984,11,2,,,,246,277,,10.1086/448287,,,117,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,2,0,2,0,2,2,3,1,3,2,2,4,4,6,5,5,6,16,6,6,5,14,3,6,4,1
The Turn to Affect: A Critique,"Leys, Ruth",,,,CRITICAL INQUIRY,SPR 2011,2011,37,3,,,,434,472,,10.1086/659353,,,116,19.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,23,32,43,2
"BLACK BODIES, WHITE BODIES - TOWARD AN ICONOGRAPHY OF FEMALE SEXUALITY IN LATE 19TH-CENTURY ART, MEDICINE, AND LITERATURE","GILMAN, SL",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,204,242,,10.1086/448327,,,111,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,6,2,4,1,5,5,5,0,1,1,4,0,3,1,5,0,7,4,10,6,7,6,5,8,7,0
DIANA DESCRIBED + THE PORTRAYAL OF FEMININE BEAUTY IN THE RENAISSANCE - SCATTERED WOMAN AND SCATTERED RHYME,"VICKERS, NJ",,,,CRITICAL INQUIRY,1981,1981,8,2,,,,265,279,,10.1086/448154,,,110,3.06,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,4,4,6,3,2,2,5,3,1,4,5,1,1,1,3,3,3,3,3,2,4,6,3,11,5,8,6,0,0
"A BORDERLESS WORLD, FROM COLONIALISM TO TRANSNATIONALISM AND THE DECLINE OF THE NATION-STATE","MIYOSHI, M",,,,CRITICAL INQUIRY,SUM 1993,1993,19,4,,,,726,751,,10.1086/448695,,,102,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,8,9,7,8,3,4,3,4,2,3,4,7,6,3,3,2,1,5,4,0
What is new formalism?,"Levinson, Marjorie",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 2007,2007,122,2,,,,558,569,,10.1632/pmla.2007.122.2.558,,,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,11,3,9,13,22,16,8,3
"INTERPRETING THE 'VARIORUM' + MILTON,JOHN","FISH, SE",,,,CRITICAL INQUIRY,1976,1976,2,3,,,,465,485,,10.1086/447852,,,98,2.39,0,0,0,3,3,5,1,2,4,3,4,3,2,3,3,1,2,1,1,0,2,1,3,0,1,2,0,1,1,1,1,0,0,3,2,4,3,5,6,2,6,7,5,1
Music - Drastic or gnostic?,"Abbate, C",,,,CRITICAL INQUIRY,SPR 2004,2004,30,3,,,,505,536,,10.1086/421160,,,95,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,3,7,7,17,10,13,12,12,1
EXODUS + EXILE AND NATIONALISM,"ANDERSON, B",,,,CRITICAL INQUIRY,WIN 1994,1994,20,2,,,,314,327,,10.1086/448713,,,95,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,5,6,3,1,5,4,6,8,4,9,5,6,8,3,6,3,1,0
"METAPHORICAL PROCESS AS COGNITION, IMAGINATION, AND FEELING","RICOEUR, P",,,,CRITICAL INQUIRY,1978,1978,5,1,,,,143,159,,10.1086/447977,,,93,2.38,0,0,0,0,0,1,0,2,1,3,2,2,1,2,4,0,1,2,0,3,1,1,4,0,5,2,0,0,1,0,1,1,1,2,1,4,3,3,6,9,8,10,4,2
"Trauma, absence, loss (Holocaust, history)","LaCapra, D",,,,CRITICAL INQUIRY,SUM 1999,1999,25,4,,,,696,727,,10.1086/448943,,,92,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,3,5,2,6,4,9,12,10,13,6,3,0
Intimacy: A special issue (Introduction),"Berlant, L",,,,CRITICAL INQUIRY,WIN 1998,1998,24,2,,,,281,288,,10.1086/448875,,,91,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,3,2,4,3,4,3,5,14,11,12,12,10,1
THE MAKING AND MOLDING OF CHILD-ABUSE,"HACKING, I",,,,CRITICAL INQUIRY,WIN 1991,1991,17,2,,,,253,288,,10.1086/448583,,,91,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,2,4,2,9,2,1,6,3,1,1,1,1,3,3,3,3,4,8,7,5,7,3
EMPHASIS ADDED - PLOTS AND PLAUSIBILITIES IN WOMENS FICTION,"MILLER, NK",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1981,1981,96,1,,,,36,48,,10.2307/462003,,,91,2.53,0,0,0,0,0,0,0,0,3,2,6,6,4,7,13,5,2,7,1,3,5,3,0,0,2,2,0,0,1,2,3,1,1,0,3,1,1,4,2,0,0,1,0,0
FICTION AND ITS PHANTOMS - READING OF FREUD 'UNHEIMLICHE' ('UNCANNY'),"CIXOUS, H",,,,NEW LITERARY HISTORY,1976,1976,7,3,,,,525,548,,,,,91,2.22,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,2,0,1,0,0,2,1,1,4,0,2,0,3,2,3,1,5,4,5,5,6,6,11,7,6,8,0
THE NEW HISTORICISM AND ITS DISCONTENTS - POLITICIZING RENAISSANCE DRAMA,"PECHTER, E",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAY 1987,1987,102,3,,,,292,303,,10.2307/462477,,,90,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,24,7,8,4,7,1,1,4,3,0,1,1,0,0,5,1,0,0,0,0,0,0,2,3,2,1,1,0
"WHY ALL THE FUSS ABOUT THE BODY, A MEDIEVALISTS PERSPECTIVE","BYNUM, C",,,,CRITICAL INQUIRY,FAL 1995,1995,22,1,,,,1,33,,10.1086/448780,,,89,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,4,7,4,0,4,3,4,7,6,10,4,9,5,3,4,1
SHAPING FANTASIES - FIGURATIONS OF GENDER AND POWER IN ELIZABETHAN CULTURE,"MONTROSE, LA",,,,REPRESENTATIONS,1983,1983,1,2,,,,61,94,,,,,89,2.62,0,0,0,0,0,0,0,0,0,0,0,2,1,4,6,9,5,7,3,2,5,0,2,2,2,1,1,3,1,1,0,0,2,4,2,3,5,1,3,4,3,2,3,0
MAGICAL NARRATIVES - ROMANCE AS GENRE,"JAMESON, F",,,,NEW LITERARY HISTORY,1975,1975,7,1,,,,135,163,,10.2307/468283,,,89,2.12,0,0,0,1,2,2,4,3,1,2,3,4,1,2,3,4,0,2,3,4,1,2,1,2,1,0,1,0,1,1,1,0,1,2,1,2,7,2,2,1,2,8,8,1
"CRITICAL FANONISM + ON FANON,FRANTZ","GATES, HL",,,,CRITICAL INQUIRY,SPR 1991,1991,17,3,,,,457,470,,,,,87,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,10,4,8,5,5,2,2,1,4,2,4,1,3,7,1,2,2,6,3,2,1,0
"APPROPRIATING BOURDIEU - FEMINIST THEORY AND BOURDIEU,PIERRE SOCIOLOGY OF CULTURE","MOI, T",,,,NEW LITERARY HISTORY,FAL 1991,1991,22,4,,,,1017,1049,,10.2307/469077,,,86,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,1,1,1,3,2,3,6,2,3,4,4,6,6,5,7,7,6,6,2
WHEN-EVE-READS-MILTON + A FEMINIST CRITIQUE OF THE LITERARY CANON - UNDOING THE CANONICAL ECONOMY,"FROULA, C",,,,CRITICAL INQUIRY,1983,1983,10,2,,,,321,347,,10.1086/448249,,,86,2.53,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,8,3,2,7,4,8,0,2,5,2,3,1,2,2,0,1,1,1,3,1,3,2,1,2,4,3,0,1,0
"Slow death (Sovereignty, obesity, lateral agency)","Berlant, Lauren",,,,CRITICAL INQUIRY,SUM 2007,2007,33,4,,,,754,780,,10.1086/521568,Conference on Kuhn and the Sociology of Scientific Knowledge,"MAR, 2006",85,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,8,16,11,15,22,2
SOCIAL DRAMAS AND STORIES ABOUT THEM,"TURNER, V",,,,CRITICAL INQUIRY,1980,1980,7,1,,,,141,168,,10.1086/448092,,,85,2.3,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,4,1,1,4,1,2,0,3,0,2,3,2,1,2,4,0,1,3,3,2,8,6,2,3,7,5,4,2,1
"Invention, memory, and place (Geography, Palestine)","Said, EW",,,,CRITICAL INQUIRY,WIN 2000,2000,26,2,,,,175,192,,10.1086/448963,,,84,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,1,4,7,12,6,10,9,6,10,3,5,1
POLICING THE BLACK WOMANS BODY IN AN URBAN CONTEXT,"CARBY, HV",,,,CRITICAL INQUIRY,SUM 1992,1992,18,4,,,,738,755,,10.1086/448654,,,84,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,2,2,2,2,2,3,2,1,6,6,8,5,5,6,11,8,3,0
MARVELOUS FACTS AND MIRACULOUS EVIDENCE IN EARLY-MODERN EUROPE,"DASTON, L",,,,CRITICAL INQUIRY,FAL 1991,1991,18,1,,,,93,124,,10.1086/448625,,,84,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,1,4,2,5,1,8,4,0,3,4,3,4,4,2,5,4,7,4,5,4,0
EKPHRASIS AND REPRESENTATION,"HEFFERNAN, JAW",,,,NEW LITERARY HISTORY,SPR 1991,1991,22,2,,,,297,316,,10.2307/469040,,,83,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,1,1,2,0,0,3,4,4,4,3,9,4,2,5,4,5,10,7,1,3,0
"HOW WE GOT INTO ANALYSIS, AND HOW TO GET OUT","KERMAN, J",,,,CRITICAL INQUIRY,1980,1980,7,2,,,,311,331,,10.1086/448101,,,79,2.14,0,0,0,0,0,0,0,0,1,3,3,2,1,2,2,0,4,0,4,3,5,4,2,0,2,2,0,0,2,1,1,6,2,2,2,2,4,3,3,5,1,5,0,0
An Attempt at a Compositionist Manifesto,"Latour, Bruno",,,,NEW LITERARY HISTORY,SUM 2010,2010,41,3,,,,471,490,,,,,78,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,18,22,16,1
"Boutique multiculturalism, or why liberals are incapable of thinking about hate speech","Fish, S",,,,CRITICAL INQUIRY,WIN 1997,1997,23,2,,,,378,395,,10.1086/448833,,,78,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,4,0,2,0,1,2,6,9,6,8,4,8,7,6,6,0
"HOW BODIES REMEMBER, SOCIAL MEMORY AND BODILY EXPERIENCE OF CRITICISM, RESISTANCE, AND DELEGITIMATION FOLLOWING CHINA CULTURAL-REVOLUTION","KLEINMAN, A; KLEINMAN, J",,,,NEW LITERARY HISTORY,SUM 1994,1994,25,3,,,,707,723,,10.2307/469474,Commonwealth-Center-for-Library-and-Cultural-Change Seminar on Remembering and Forgetting,"JAN   27, 1993",78,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,6,1,3,2,1,6,1,3,9,5,5,2,4,6,7,4,2,1
MICROHISTORY - 2 OR 3 THINGS THAT I KNOW ABOUT IT,"GINZBURG, C",,,,CRITICAL INQUIRY,FAL 1993,1993,20,1,,,,10,35,,10.1086/448699,,,78,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,2,2,0,4,1,1,1,2,4,6,11,7,9,8,5,6,2
The new modernist studies,"Mao, Douglas; Walkowitz, Rebecca L.",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAY 2008,2008,123,3,,,,737,748,,10.1632/pmla.2008.123.3.737,,,75,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,15,10,15,12,10,2
NARRATION IN THE PSYCHOANALYTIC DIALOG,"SCHAFER, R",,,,CRITICAL INQUIRY,1980,1980,7,1,,,,29,53,,10.1086/448087,,,75,2.03,0,0,0,0,0,0,0,0,0,0,0,3,6,8,3,5,2,4,1,6,5,1,4,0,2,3,2,1,3,0,2,1,2,3,1,2,0,2,1,1,0,1,0,0
"THE COUNTER-MONUMENT, MEMORY AGAINST ITSELF IN GERMANY TODAY","YOUNG, JE",,,,CRITICAL INQUIRY,WIN 1992,1992,18,2,,,,267,296,,10.1086/448632,,,74,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,1,1,1,3,2,2,1,1,2,6,6,5,6,11,7,11,1
"SCRATCHES ON THE FACE OF THE COUNTRY OR, WHAT BARROW SAW IN THE LAND OF THE BUSHMEN","PRATT, ML",,,,CRITICAL INQUIRY,1985,1985,12,1,,,,119,143,,10.1086/448324,,,74,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,2,6,4,6,1,4,2,4,2,1,2,2,0,0,0,2,2,3,2,2,4,1,4,1,3,0
HISTORY AND GENRE,"COHEN, R",,,,NEW LITERARY HISTORY,WIN 1986,1986,17,2,,,,203,218,,10.2307/468885,,,72,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,3,2,1,3,0,0,4,2,3,3,1,0,3,5,2,1,2,3,2,5,7,9,2
FEMINIST CRITICISM IN THE WILDERNESS,"SHOWALTER, E",,,,CRITICAL INQUIRY,1981,1981,8,2,,,,179,205,,10.1086/448150,,,72,2,0,0,0,0,0,0,0,0,0,3,5,4,3,5,7,3,3,5,2,5,1,3,0,1,0,2,0,0,0,0,0,2,0,0,3,2,1,1,1,2,4,3,1,0
"AFTERTHOUGHTS ON NARRATIVE .3. NARRATIVE VERSIONS, NARRATIVE THEORIES","SMITH, BH",,,,CRITICAL INQUIRY,1980,1980,7,1,,,,213,236,,10.1086/448097,,,71,1.92,0,0,0,0,0,0,0,1,4,1,3,2,2,4,3,4,1,8,2,2,2,2,4,0,2,0,1,3,2,2,2,1,1,0,0,0,2,3,1,3,1,2,0,0
